name,name_kana,code
北海道,ほっかいどう,1
青森県,あおもりけん,2
岩手県,いわてけん,3
宮城県,みやぎけん,4
秋田県,あきたけん,5
山形県,やまがたけん,6
福島県,ふくしまけん,7
茨城県,いばらきけん,8
栃木県,とちぎけん,9
群馬県,ぐんまけん,10
埼玉県,さいたまけん,11
千葉県,ちばけん,12
東京都,とうきょうと,13
神奈川県,かながわけん,14
新潟県,にいがたけん,15
富山県,とやまけん,16
石川県,いしかわけん,17
福井県,ふくいけん,18
山梨県,やまなしけん,19
長野県,ながのけん,20
岐阜県,ぎふけん,21
静岡県,しずおかけん,22
愛知県,あいちけん,23
三重県,みえけん,24
滋賀県,しがけん,25
京都府,きょうとふ,26
大阪府,おおさかふ,27
兵庫県,ひょうごけん,28
奈良県,ならけん,29
和歌山県,わかやまけん,30
鳥取県,とっとりけん,31
島根県,しまねけん,32
岡山県,おかやまけん,33
広島県,ひろしまけん,34
山口県,やまぐちけん,35
徳島県,とくしまけん,36
香川県,かがわけん,37
愛媛県,えひめけん,38
高知県,こうちけん,39
福岡県,ふくおかけん,40
佐賀県,さがけん,41
長崎県,ながさきけん,42
熊本県,くまもとけん,43
大分県,おおいたけん,44
宮崎県,みやざきけん,45
鹿児島県,かごしまけん,46
沖縄県,おきなわけん,47
